name,lat,lon,duty,crowd,fun,category
葛西駅,35.6642465,139.873309,4,4,2,自宅
バイト先A,35.6895,139.7005,5,4,2,職場・バイト
バイト先B,35.6660,139.7310,4,3,2,職場・バイト
インターン先,35.6900,139.7700,5,5,1,職場・バイト
東京駅,35.6812,139.7671,3,5,3,その他
新宿駅,35.6909,139.7003,3,5,3,その他
渋谷駅,35.6580,139.7016,3,5,4,その他
池袋駅,35.7295,139.7109,3,5,3,その他
秋葉原駅,35.6984,139.7730,2,4,5,娯楽
上野駅,35.7138,139.7772,2,4,4,娯楽
品川駅,35.6284,139.7387,3,5,3,その他
横浜駅,35.4662,139.6227,2,4,4,娯楽
お台場,35.6272,139.7768,1,3,5,娯楽
東京ドーム,35.7056,139.7519,2,5,5,娯楽
ディズニーランド,35.6329,139.8804,1,5,5,娯楽
映画館,35.6595,139.7005,1,3,5,娯楽
カラオケ,35.6910,139.6995,1,4,5,娯楽
ゲームセンター,35.6975,139.7740,1,4,5,娯楽
友人宅A,35.6700,139.7400,1,2,5,友人宅
友人宅B,35.7300,139.7300,1,2,5,友人宅
友人宅C,35.6400,139.6900,1,2,5,友人宅
祖父母宅,35.7800,139.6500,2,1,4,その他
スーパーA,35.6840,139.7680,1,2,3,その他
スーパーB,35.6700,139.7600,1,2,3,その他
コンビニA,35.6820,139.7660,1,1,3,その他
コンビニB,35.6830,139.7690,1,1,3,その他
病院,35.6900,139.7600,5,3,1,その他
市役所,35.7000,139.7700,4,2,1,その他
銀行,35.6880,139.7680,3,2,2,その他
郵便局,35.6870,139.7690,2,2,2,その他
公園,35.6850,139.7500,1,1,5,娯楽
カフェA,35.6800,139.7650,1,2,5,飲食店
カフェB,35.6920,139.7020,1,3,5,飲食店
ラーメン屋,35.6990,139.7700,1,4,5,飲食店
居酒屋,35.6950,139.7020,1,4,5,飲食店
ファミレス,35.6860,139.7550,1,3,4,飲食店
ショッピングモール,35.6230,139.7400,2,5,4,娯楽
美容院,35.6760,139.7640,2,2,4,その他
市民体育館,35.7000,139.7450,2,2,4,娯楽
ライブ会場,35.6430,139.7130,1,5,5,娯楽
水族館,35.6280,139.7390,1,3,5,娯楽
動物園,35.7160,139.7710,1,4,5,娯楽
空港,35.5494,139.7798,4,5,4,その他
新幹線駅,35.6812,139.7671,3,5,4,その他
実家,35.8600,139.6500,2,1,5,自宅
